2,1,35,red-pattern.png,247,169
3,2,61,red-pattern.png,247,169
4,3,93,red-pattern.png,247,169
5,10,126,red-pattern.png,247,169
6,32,148,red-pattern.png,247,169
7,61,158,red-pattern.png,247,169
8,90,163,red-pattern.png,247,169
9,124,168,red-pattern.png,247,169
10,147,161,red-pattern.png,247,169
11,169,158,red-pattern.png,247,169
12,196,150,red-pattern.png,247,169
13,239,126,red-pattern.png,247,169
14,245,93,red-pattern.png,247,169
15,247,62,red-pattern.png,247,169
16,243,40,red-pattern.png,247,169
30,124,3,red-pattern.png,247,169